"team","group","ovr_elo","off_rtg","def_rtg","team_points","num_wins","goal_diff","goals_for","first_place","second_place","third_place","fourth_place","make_r32","make_r16","make_qf","make_semis","make_final","win_3rd_place","win_final","update_time"
"Netherlands","F",2153.79370820829,3.03718408056259,0.457952239525416,5.71473333333333,1.69926666666667,2.48646666666667,6.07246666666667,0.441533333333333,0.313666666666667,0.169,0.0758,0.893733333333333,0.481066666666667,0.296733333333333,0.156733333333333,0.0813333333333333,0.0404666666666667,0.0404,"2026-06-10 22:21:14 UTC"
"Egypt","G",1894.87781590451,1.99510632626244,0.498535157490844,3.31866666666667,0.839066666666667,-1.16273333333333,2.8688,0.121466666666667,0.246133333333333,0.3156,0.3168,0.5684,0.2204,0.0708666666666667,0.0229333333333333,0.00973333333333333,0.00493333333333333,0.00306666666666667,"2026-06-10 22:21:14 UTC"
"Belgium","G",2167.88192309919,3.0207991679626,0.419416925523194,6.25646666666667,1.87633333333333,3.254,5.9506,0.587133333333333,0.246933333333333,0.1154,0.0505333333333333,0.928533333333333,0.6204,0.3466,0.174133333333333,0.0958666666666667,0.0414666666666667,0.0469333333333333,"2026-06-10 22:21:14 UTC"
"Iran","G",1960.76575559411,2.44949029600379,0.599952251973214,4.089,1.11326666666667,-0.140466666666667,3.94926666666667,0.198733333333333,0.305333333333333,0.277333333333333,0.2186,0.6978,0.3224,0.125,0.0466666666666667,0.0180666666666667,0.0104,0.00733333333333333,"2026-06-10 22:21:14 UTC"
"New Zealand","G",1850.55250533784,2.16912737032248,0.734826285189082,2.88546666666667,0.720933333333333,-1.9508,2.9958,0.0926666666666667,0.2016,0.291666666666667,0.414066666666667,0.4806,0.1722,0.0517333333333333,0.0158,0.00586666666666667,0.00286666666666667,0.00173333333333333,"2026-06-10 22:21:14 UTC"
"Saudi Arabia","H",1751.03240109526,1.761337684338,0.751127743092893,2.25533333333333,0.524866666666667,-3.04373333333333,1.95333333333333,0.0276,0.1274,0.4216,0.4234,0.366066666666667,0.0772666666666667,0.023,0.00626666666666667,0.00193333333333333,8e-04,0.000866666666666667,"2026-06-10 22:21:14 UTC"
"Spain","H",2290.52313198577,3.3666287553668,0.338602854089722,7.12326666666667,2.21113333333333,5.04786666666667,6.83266666666667,0.694666666666667,0.2426,0.0516666666666667,0.0110666666666667,0.981533333333333,0.6216,0.418066666666667,0.279666666666667,0.175666666666667,0.0642666666666667,0.107266666666667,"2026-06-10 22:21:14 UTC"
"Uruguay","H",2091.871261398,2.33685062449398,0.275542173952733,5.4236,1.56953333333333,1.6962,4.05893333333333,0.258266666666667,0.528466666666667,0.165733333333333,0.0475333333333333,0.903666666666667,0.382866666666667,0.211266666666667,0.108666666666667,0.0520666666666667,0.0276,0.0258666666666667,"2026-06-10 22:21:14 UTC"
"Cape Verde","H",1707.69326331899,1.73859521248487,0.881118456973125,1.93853333333333,0.4352,-3.70033333333333,1.7656,0.0194666666666667,0.101533333333333,0.361,0.518,0.296533333333333,0.0579333333333333,0.0165333333333333,0.00373333333333333,0.000866666666666667,0.000866666666666667,2e-04,"2026-06-10 22:21:14 UTC"
"France","I",2207.56564369255,3.04759609781085,0.354591674186011,5.88373333333333,1.74713333333333,2.68473333333333,5.6528,0.4716,0.2994,0.178866666666667,0.0501333333333333,0.9152,0.6006,0.345666666666667,0.212133333333333,0.116933333333333,0.0540666666666667,0.0628,"2026-06-10 22:21:14 UTC"
"Norway","I",2117.03748334864,2.93921455095305,0.490259194334412,5.06626666666667,1.4682,1.373,5.10166666666667,0.312333333333333,0.334533333333333,0.261133333333333,0.092,0.843,0.479066666666667,0.242666666666667,0.132533333333333,0.0624666666666667,0.0352,0.0302,"2026-06-10 22:21:14 UTC"
"Iraq","I",1749.49081382499,1.71861758671909,0.724378488351325,1.46313333333333,0.289866666666667,-4.2078,1.6634,0.0197333333333333,0.0672666666666667,0.204533333333333,0.708466666666667,0.1954,0.0540666666666667,0.0147333333333333,0.0042,0.00113333333333333,0.000866666666666667,4e-04,"2026-06-10 22:21:14 UTC"
"Senegal","I",2050.33137851334,2.54663067009628,0.435712056160262,4.27493333333333,1.18286666666667,0.150066666666667,4.0366,0.196333333333333,0.2988,0.355466666666667,0.1494,0.7452,0.368466666666667,0.1722,0.0855333333333333,0.0365333333333333,0.0227333333333333,0.0159333333333333,"2026-06-10 22:21:14 UTC"
